,1,2,3,4,5,6,7,8,9,10,flux_difference,directed_coupling,regulation_type
SPTr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001494,-0.001494,False,D
TRPS3,0.003292,0.002971,0.002649,0.002328,0.002006,0.001677,0.001349,0.001021,0.000693,0.000365,-0.002927,True,D
ANS,0.003292,0.002971,0.002649,0.002328,0.002006,0.001677,0.001349,0.001021,0.000693,0.000365,-0.002927,True,D
TRPS2,0.003292,0.002971,0.002649,0.002328,0.002006,0.001677,0.001349,0.001021,0.000693,0.000365,-0.002927,True,D
DMPPS_syn,0.00488,0.004404,0.003927,0.003451,0.002973,0.002487,0.002,0.001514,0.001027,0.000541,-0.004339,True,D
GART,0.006846,0.006177,0.005509,0.00484,0.00417,0.003488,0.002806,0.002123,0.001441,0.000758,-0.006088,True,D
TRDR,0.011075,0.009994,0.008912,0.007831,0.006747,0.005643,0.004539,0.003435,0.002331,0.001227,-0.009847999999999999,True,D
FTHFD,0.016257,0.012912,0.009567,0.006223,0.003225,0.002697,0.00217,0.001642,0.001114,0.000586,-0.015671,True,D
NDHPQRcm,0.080995,0.071329,0.061664,0.051999,0.042664,0.035683,0.028701,0.02172,0.014738,0.010745,-0.07024999999999999,True,D
3OAR40_1,-0.016749,-0.02767,-0.03859,-0.049511,-0.06043,-0.07134,-0.082249,-0.093159,-0.104069,-0.114978,-0.098229,True,U
PEPC,0.140044,0.126371,0.112698,0.099024,0.085316,0.071355,0.057394,0.043434,0.029473,0.015512,-0.124532,True,D
TKT1,-0.610281,-0.638567,-0.666854,-0.695141,-0.723412,-0.751572,-0.779732,-0.807891,-0.836051,-0.864211,-0.25393,True,U
TALA,-0.610281,-0.638567,-0.666854,-0.695141,-0.723412,-0.751572,-0.779732,-0.807891,-0.836051,-0.864211,-0.25393,True,U
ATPM,0.258025,0.724854,1.191683,1.658512,2.125317,2.591954,3.05859,0.0,0.0,0.0,-0.258025,False,D
TPI,-1.257701,-1.310648,-1.363595,-1.416543,-1.469449,-1.522067,-1.574684,-1.627301,-1.679919,-1.732536,-0.4748350000000001,True,U
FBA,-1.25586,-1.308987,-1.362114,-1.415241,-1.468328,-1.521129,-1.57393,-1.626731,-1.679531,-1.732332,-0.476472,True,U
PPKr,-0.391556,-0.466329,-0.541102,-0.615875,-0.690575,-0.764756,-0.838936,-0.913117,-0.987297,-1.061477,-0.669921,True,U
O2tex,-1.849701,-1.926491,-2.003282,-2.080072,-2.156335,-2.228846,-2.301356,-2.378364,-2.451552,-2.523954,-0.6742529999999998,True,U
O2tpp,-1.849701,-1.926491,-2.003282,-2.080072,-2.156335,-2.228846,-2.301356,-2.378364,-2.451552,-2.523954,-0.6742529999999998,True,U
ACKr,-0.021423,-0.107203,-0.192982,-0.278762,-0.364497,-0.449916,-0.535335,-0.620753,-0.706172,-0.79159,-0.770167,True,U
H2Otu_syn,-3.973256,-4.184166,-4.395076,-4.605986,-4.816513,-5.024305,-5.232097,-95.395693,-109.157849,-107.196072,-103.222816,False,U
ASPTA,-0.093895,-0.084728,-0.07556,-0.066393,-0.057202,-0.047841,-0.038481,-433.62106,-437.173567,-436.864434,-436.77053900000004,False,U
