Strategy,Flux,Biomass,N_of_deletions,C_limit
"['FDH6', 'GART', 'ANHMK', 'FBP', 'IPDPS']",0.2057412189836086,0.0105633453418196,5,12
"['FDH6', 'CAT', 'GART', 'ACGS', 'VPAMTr']",0.2057417762776349,0.0105633453406387,5,12
"['GGCLUT2', 'FDH6', 'GART', 'DMPPS_syn', 'ACGS']",0.2057408697363291,0.0105633453418196,5,12
"['PSERT', 'FDH6', 'GND', 'GART', 'SBP']",0.2057413683615842,0.0105633453418196,5,12
"['FDH6', 'GTHPi', 'GART', 'SBP', 'DMPPS_syn']",0.2057407352299859,0.0105633453431763,5,12
"['GLUSfx', 'PSERT', 'FDH6', 'GART', 'DMPPS_syn']",0.2057413683638489,0.0105633453418196,5,12
"['HEX7', 'FDH6', 'GART', 'ANHMK', 'FUM']",0.2043543880307362,0.0105633453418196,5,12
"['FDH6', 'GND', 'GART', 'PPA', 'DMPPS_syn']",0.205740671330712,0.0105633453431763,5,12
"['FDH6', 'CAT', 'PGCD', 'GART', 'VALTA']",0.2057414272328297,0.0105633453418196,5,12
"['MDDEP4pp', 'GGCLUT2', 'PSERT', 'FDH6', 'GART']",0.2057409497735862,0.0105633453418196,5,12
"['RNDR4', 'ANHMK', 'DCTPD']",0.205741100198231,0.0105633453418196,3,11
"['RNDR4', 'FNOR', 'DCTPD']",0.2057415505650562,0.0105633453418196,3,11
"['RNDR4', 'NDPK6', 'FNOR']",0.2057412935734043,0.0105633453418196,3,11
"['RNDR4', 'NDPK6', 'AMPTASECG']",0.2057408372628601,0.0105633453418196,3,11
"['RNDR4', 'NDPK6', 'ACM6PH']",0.2057401351315952,0.0105633453431763,3,11
"['RNDR4', 'ALAD_L', 'DCTPD']",0.2057405969647451,0.0105633453418196,3,11
"['RNDR4', 'NDPK6', 'TRPS1']",0.2057399999999806,0.0105633453431763,3,11
"['RNDR4', 'PGL', 'DCTPD']",0.2057405457025458,0.0105633453431763,3,11
"['RNDR4', 'ACM6PH', 'DCTPD']",0.2057404144733937,0.0105633453431763,3,11
"['RNDR4', 'ME2', 'DCTPD']",0.2057406850157555,0.0105633453431763,3,11
"['RNDR4', 'FBA', 'DCTPD']",0.2057409685476382,0.0105633453431763,3,11
"['RNDR4', 'NDPK6', 'ACM6PH']",0.2057399999998778,0.0105633453431763,3,11
"['RNDR4', 'PGL', 'DCTPD']",0.2057409248565638,0.0105633453312017,3,11
"['FDH6', 'CAT', 'GART']",0.2057405969594308,0.0105633453418196,3,11
"['RNDR4', 'NDPK6', 'GLUSfx']",0.2057410631079951,0.0105633453431763,3,11
"['RNDR4', 'TALA', 'DCTPD']",0.2057401351315953,0.0105633453431763,3,11
"['RNDR4', 'NDPK6', 'FBA']",0.2057408745604952,0.0105633453418196,3,11
"['RNDR4', 'NDPK6', 'FBA3']",0.2057407352487892,0.0105633453333915,3,11
"['RNDR4', 'PPA', 'DCTPD']",0.2057410108097035,0.0105633453418196,3,11
"['FDH6', 'GART', 'TRPS3']",0.2057406811860449,0.0105633453431763,3,11
"['RNDR4', 'NDPK6']",0.2057401351308712,0.0105633453431763,2,11
"['FDH6', 'GART']",0.2057399999999056,0.0105633453431763,2,11
"['PSERT', 'PGL']",0.1689020688048232,0.0275865747100388,2,11
"['PGL', 'PGCD']",0.1689012109151906,0.0275865747026237,2,11
"['RNDR4', 'NDPK6', 'AGDC']",0.2057401351314283,0.0105633453431763,3,11
"['RNDR4', 'PGL', 'NDPK6']",0.2057401351315957,0.0105633453431763,3,11
"['RNDR4', 'NDPK6', 'MLTGY4pp']",0.2057412545497154,0.0105633453333915,3,11
"['RNDR4', 'NDPK6', 'GTHPi']",0.2057413147330701,0.0105633453418196,3,11
"['RNDR4', 'NDPK6', 'PEPC']",0.2057399999999999,0.0105633453431763,3,11
"['RNDR4', 'NDPK6', 'ANHMK']",0.2057399999999999,0.0105633453431763,3,11
"['PSP_L', 'GND']",0.1689015677526615,0.0275865728836807,2,11
"['PSERT', 'PGL']",0.1689015638242056,0.0275865746990564,2,11
"['PSP_L', 'G6PDH2r']",0.1689002479597939,0.0275865747026492,2,11
"['PSERT', 'G6PDH2r']",0.1689009191105553,0.0275865747026343,2,11
"['PSERT', 'GND']",0.1689002479597826,0.0275865747026593,2,11
"['PSP_L', 'ACGAMK', 'GND']",0.1689017714179412,0.0275865745927483,3,11
"['PPA', 'PYK', 'PSP_L', 'PGL']",0.1689012113640969,0.0275865744952038,4,11
"['NAD_H2', 'PSP_L', 'TALA', 'G6PDH2r']",0.1689023898060577,0.0275865747026163,4,11
"['PSERT', 'PFK', 'IPDDI', 'PGL']",0.168900601023009,0.027586574627815,4,11
"['GLUSfx', 'PSERT', 'PYK', 'G6PDH2r']",0.1689012109152287,0.027586574702622,4,11
"['RNDR4', 'NDPK6', 'ALAD_L', 'GLUSfx']",0.2057405832657089,0.0105633453431763,4,11
"['RNDR4', 'NDPK6', 'ACGAMK', 'VPAMTr']",0.2057400000000044,0.0105633453431763,4,11
"['RNDR4', 'NDPK6', 'GND', 'FBA']",0.2057399999998141,0.0105633453431763,4,11
"['RNDR4', 'NDPK6', 'IPDDI', 'FBA']",0.2057408114879274,0.0105633453431763,4,11
"['RNDR4', 'NDPK6', 'ACM6PH', 'NTPP8']",0.2057400000000621,0.0105633453431763,4,11
