,1,2,3,4,5,6,7,8,9,10,flux_difference,directed_coupling
TRPS2,0.006734,0.006068,0.005402,0.004736,0.00407,0.003404,0.002738,0.002072,0.001406,0.00074,-0.005994,True
TRPS3,0.006734,0.006068,0.005402,0.004736,0.00407,0.003404,0.002738,0.002072,0.001406,0.00074,-0.005994,True
DMPPS_syn,0.009983,0.008995,0.008008,0.007021,0.006033,0.005046,0.004059,0.003072,0.002084,0.001097,-0.008886,True
GLYCOR_nadp,0.160198,0.144354,0.12851,0.112667,0.096823,0.080979,0.065135,0.049292,0.033448,0.017604,-0.142594,True
GLYCK,0.160198,0.144354,0.12851,0.112667,0.096823,0.080979,0.065135,0.049292,0.033448,0.017604,-0.142594,True
Htex,2.228943,2.230768,2.232594,2.234419,2.236245,2.23807,2.239896,2.241721,2.19489,2.059223,-0.16972000000000032,False
3OAR40_1,-0.033336,-0.054735,-0.076135,-0.097535,-0.118935,-0.140334,-0.161734,-0.183134,-0.204534,-0.225933,-0.192597,True
PSP_L,0.286398,0.254137,0.221876,0.190569,0.160929,0.131289,0.101649,0.07201,0.04237,0.01273,-0.27366799999999997,True
PSERT,0.286398,0.254137,0.221876,0.190569,0.160929,0.131289,0.101649,0.07201,0.04237,0.01273,-0.27366799999999997,True
PGCD,0.286398,0.254137,0.221876,0.190569,0.160929,0.131289,0.101649,0.07201,0.04237,0.01273,-0.27366799999999997,True
PEPC,0.343905,0.309893,0.27588,0.241867,0.207855,0.173842,0.13983,0.105817,0.071804,0.037792,-0.306113,True
NO3tex,0.487268,0.495103,0.459362,0.423621,0.38788,0.352138,0.316397,0.280655,0.220586,0.116098,-0.37117,False
NO3abcpp,0.487268,0.495103,0.459362,0.423621,0.38788,0.352138,0.316397,0.280655,0.220586,0.116098,-0.37117,False
NTRARf2,0.487268,0.495103,0.459362,0.423621,0.38788,0.352138,0.316397,0.280655,0.220586,0.116098,-0.37117,False
NTRIRfx,0.487268,0.495103,0.459362,0.423621,0.38788,0.352138,0.316397,0.280655,0.220586,0.116098,-0.37117,False
TKT2,-1.543616,-1.587764,-1.631912,-1.677044,-1.723894,-1.770745,-1.817595,-1.864446,-1.911296,-1.958147,-0.414531,True
O2tex,-5.273731,-5.440199,-5.497729,-5.555258,-5.612785,-5.670313,-5.72784,-5.785368,-5.794239,-5.714274,-0.4405429999999999,True
O2tpp,-5.273731,-5.440199,-5.497729,-5.555258,-5.612785,-5.670313,-5.72784,-5.785368,-5.794239,-5.714274,-0.4405429999999999,True
TKT1,-1.509082,-1.556645,-1.604208,-1.652756,-1.703022,-1.753288,-1.803554,-1.85382,-1.904086,-1.954352,-0.44527000000000005,True
GLUSfx,0.827134,0.741393,0.655653,0.570866,0.487747,0.404628,0.321509,0.23839,0.155271,0.072152,-0.754982,True
TPI,-3.09413,-3.181744,-3.269357,-3.358939,-3.451957,-3.544976,-3.637995,-3.731014,-3.824033,-3.917051,-0.822921,True
FBA3,-3.090365,-3.178351,-3.266336,-3.35629,-3.449682,-3.543073,-3.636464,-3.729855,-3.823246,-3.916638,-0.826273,True
GLNS,0.998725,0.896013,0.793302,0.691546,0.591456,0.491366,0.391277,0.291187,0.191098,0.091008,-0.907717,True
PPKr,-0.792593,-0.936475,-1.080357,-1.224239,-1.368121,-1.512003,-1.655885,-1.799767,-1.943649,-2.08753,-1.294937,True
ACKr,-0.304603,-0.47129,-0.637978,-0.804665,-0.971353,-1.138041,-1.304728,-1.471416,-1.638103,-1.804791,-1.500188,True
H2Otu_syn,-11.420173,-447.069695,-446.962905,-446.853192,-446.738375,-446.623557,-446.50874,-446.393922,-446.279105,-446.164287,-434.744114,False
