,1,2,3,4,5,6,7,8,9,10,flux_difference,directed_coupling,regulation_type
NDPK5,0.0019,0.0019,0.0019,0.0019,0.00164,0.001372,0.001103,0.000835,0.000567,0.000298,-0.0016020000000000001,False,D
DESAT16a,0.002609,0.002609,0.002609,0.002609,0.002252,0.001883,0.001515,0.001146,0.000778,0.000409,-0.0022,False,D
DMATT,0.002947,0.002947,0.002947,0.002947,0.002544,0.002127,0.001711,0.001295,0.000879,0.000462,-0.002485,False,D
GRTT,0.002947,0.002947,0.002947,0.002947,0.002544,0.002127,0.001711,0.001295,0.000879,0.000462,-0.002485,False,D
FRTT,0.002947,0.002947,0.002947,0.002947,0.002544,0.002127,0.001711,0.001295,0.000879,0.000462,-0.002485,False,D
ALDR18,0.003748,0.003748,0.003748,0.003748,0.003235,0.002706,0.002176,0.001647,0.001118,0.000588,-0.00316,False,D
ALDDC17,0.003748,0.003748,0.003748,0.003748,0.003235,0.002706,0.002176,0.001647,0.001118,0.000588,-0.00316,False,D
NDPK7,0.003817,0.003817,0.003817,0.003817,0.003295,0.002756,0.002217,0.001677,0.001138,0.000599,-0.003218,False,D
RNDR3,0.003817,0.003817,0.003817,0.003817,0.003295,0.002756,0.002217,0.001677,0.001138,0.000599,-0.003218,False,D
UDPG4E,0.005684,0.005684,0.005684,0.005684,0.004906,0.004104,0.003301,0.002498,0.001695,0.000892,-0.004791999999999999,False,D
GF6PTA,0.006986,0.006986,0.006986,0.006986,0.00603,0.005043,0.004057,0.00307,0.002083,0.001096,-0.00589,False,D
ANS,0.007951,0.007951,0.007951,0.007951,0.006864,0.005741,0.004617,0.003494,0.002371,0.001248,-0.006703,False,D
TRPS3,0.007951,0.007951,0.007951,0.007951,0.006864,0.005741,0.004617,0.003494,0.002371,0.001248,-0.006703,False,D
TRPS2,0.007951,0.007951,0.007951,0.007951,0.006864,0.005741,0.004617,0.003494,0.002371,0.001248,-0.006703,False,D
CYSS_2,0.009324,0.009324,0.009324,0.009324,0.008049,0.006732,0.005415,0.004098,0.00278,0.001463,-0.007861,False,D
SERAT,0.009324,0.009324,0.009324,0.009324,0.008049,0.006732,0.005415,0.004098,0.00278,0.001463,-0.007861,False,D
METS,0.01111,0.01111,0.01111,0.01111,0.00959,0.008021,0.006452,0.004882,0.003313,0.001744,-0.009366,False,D
MTHFR3_1,0.01111,0.01111,0.01111,0.01111,0.00959,0.008021,0.006452,0.004882,0.003313,0.001744,-0.009366,False,D
DXPRIi,0.011787,0.011787,0.011787,0.011787,0.010175,0.00851,0.006845,0.00518,0.003515,0.00185,-0.009937000000000001,False,D
MEPCT,0.011787,0.011787,0.011787,0.011787,0.010175,0.00851,0.006845,0.00518,0.003515,0.00185,-0.009937000000000001,False,D
DXPS,0.011787,0.011787,0.011787,0.011787,0.010175,0.00851,0.006845,0.00518,0.003515,0.00185,-0.009937000000000001,False,D
DMPPS_syn,0.011787,0.011787,0.011787,0.011787,0.010175,0.00851,0.006845,0.00518,0.003515,0.00185,-0.009937000000000001,False,D
CDPMEK,0.011787,0.011787,0.011787,0.011787,0.010175,0.00851,0.006845,0.00518,0.003515,0.00185,-0.009937000000000001,False,D
MECDPS,0.011787,0.011787,0.011787,0.011787,0.010175,0.00851,0.006845,0.00518,0.003515,0.00185,-0.009937000000000001,False,D
MECDPDHf,0.011787,0.011787,0.011787,0.011787,0.010175,0.00851,0.006845,0.00518,0.003515,0.00185,-0.009937000000000001,False,D
IMPD,0.012711,0.012711,0.012711,0.012711,0.010972,0.009177,0.007381,0.005586,0.00379,0.001995,-0.010716,False,D
GMPS2,0.012711,0.012711,0.012711,0.012711,0.010972,0.009177,0.007381,0.005586,0.00379,0.001995,-0.010716,False,D
GK1,0.012711,0.012711,0.012711,0.012711,0.010972,0.009177,0.007381,0.005586,0.00379,0.001995,-0.010716,False,D
CYTK1,0.012735,0.012735,0.012735,0.012735,0.010993,0.009194,0.007395,0.005596,0.003798,0.001999,-0.010735999999999999,False,D
OXADC,0.012785,0.012785,0.012785,0.012785,0.011037,0.009231,0.007425,0.005619,0.003813,0.002007,-0.010778,False,D
GLXO3r,0.012785,0.012785,0.012785,0.012785,0.011037,0.009231,0.007425,0.005619,0.003813,0.002007,-0.010778,False,D
PPND,0.012845,0.012845,0.012845,0.012845,0.011088,0.009274,0.007459,0.005645,0.00383,0.002016,-0.010829,False,D
GLUTRS,0.013741,0.013741,0.013741,0.013741,0.011861,0.00992,0.00798,0.006039,0.004098,0.002157,-0.011584,False,D
GLUTRR,0.013741,0.013741,0.013741,0.013741,0.011861,0.00992,0.00798,0.006039,0.004098,0.002157,-0.011584,False,D
G1SAT,0.013741,0.013741,0.013741,0.013741,0.011861,0.00992,0.00798,0.006039,0.004098,0.002157,-0.011584,False,D
ADSS,0.014587,0.014587,0.014587,0.014587,0.012592,0.010531,0.008471,0.00641,0.00435,0.002289,-0.012298,False,D
ADSL1r,0.014587,0.014587,0.014587,0.014587,0.012592,0.010531,0.008471,0.00641,0.00435,0.002289,-0.012298,False,D
CTPS2,0.015727,0.015727,0.015727,0.015727,0.013576,0.011355,0.009133,0.006912,0.00469,0.002468,-0.013259000000000002,False,D
AIRC2,0.016533,0.016533,0.016533,0.016533,0.014272,0.011936,0.009601,0.007266,0.00493,0.002595,-0.013937999999999999,False,D
PRAIS,0.016533,0.016533,0.016533,0.016533,0.014272,0.011936,0.009601,0.007266,0.00493,0.002595,-0.013937999999999999,False,D
PRAGSr,0.016533,0.016533,0.016533,0.016533,0.014272,0.011936,0.009601,0.007266,0.00493,0.002595,-0.013937999999999999,False,D
GART,0.016533,0.016533,0.016533,0.016533,0.014272,0.011936,0.009601,0.007266,0.00493,0.002595,-0.013937999999999999,False,D
PRASCSi,0.016533,0.016533,0.016533,0.016533,0.014272,0.011936,0.009601,0.007266,0.00493,0.002595,-0.013937999999999999,False,D
GLUPRT,0.016533,0.016533,0.016533,0.016533,0.014272,0.011936,0.009601,0.007266,0.00493,0.002595,-0.013937999999999999,False,D
PRFGS,0.016533,0.016533,0.016533,0.016533,0.014272,0.011936,0.009601,0.007266,0.00493,0.002595,-0.013937999999999999,False,D
ADSL2r,0.016533,0.016533,0.016533,0.016533,0.014272,0.011936,0.009601,0.007266,0.00493,0.002595,-0.013937999999999999,False,D
DAPNH4T,0.01907,0.01907,0.01907,0.01907,0.016462,0.013768,0.011074,0.00838,0.005687,0.002993,-0.016077,False,D
H4THDPS,0.01907,0.01907,0.01907,0.01907,0.016462,0.013768,0.011074,0.00838,0.005687,0.002993,-0.016077,False,D
H4THDPR,0.01907,0.01907,0.01907,0.01907,0.016462,0.013768,0.011074,0.00838,0.005687,0.002993,-0.016077,False,D
DAPE,0.01907,0.01907,0.01907,0.01907,0.016462,0.013768,0.011074,0.00838,0.005687,0.002993,-0.016077,False,D
PPNDH,0.01998,0.01998,0.01998,0.01998,0.017247,0.014425,0.011603,0.00878,0.005958,0.003136,-0.016844,False,D
FE3abcpp,0.022598,0.022598,0.022598,0.022598,0.019507,0.016315,0.013123,0.009931,0.006739,0.003547,-0.019051,False,D
FE3tex,0.022598,0.022598,0.022598,0.022598,0.019507,0.016315,0.013123,0.009931,0.006739,0.003547,-0.019051,False,D
ASPCT,0.025524,0.025524,0.025524,0.025524,0.022033,0.018428,0.014822,0.011217,0.007611,0.004006,-0.021518000000000002,False,D
DHORD3um,0.025524,0.025524,0.025524,0.025524,0.022033,0.018428,0.014822,0.011217,0.007611,0.004006,-0.021518000000000002,False,D
OMPDC,0.025524,0.025524,0.025524,0.025524,0.022033,0.018428,0.014822,0.011217,0.007611,0.004006,-0.021518000000000002,False,D
MPPM,0.028068,0.028068,0.028068,0.028068,0.024229,0.020264,0.0163,0.012335,0.00837,0.004405,-0.023663,False,D
MAN1PT,0.028068,0.028068,0.028068,0.028068,0.024229,0.020264,0.0163,0.012335,0.00837,0.004405,-0.023663,False,D
GLYCL,0.040474,0.040474,0.040474,0.040474,0.034938,0.029221,0.023504,0.017787,0.006201,0.012834,-0.027640000000000005,False,D
